episode,steps,return,length,success,crash,wall_time
504,60629,81.198,250,0,0,640.3
505,60879,77.557,250,0,0,642.9
506,60924,-52.071,45,0,1,643.4
507,60964,-116.284,40,0,1,643.8
508,61214,73.714,250,0,0,646.3
509,61464,78.985,250,0,0,648.9
510,61714,64.163,250,0,0,651.4
511,61964,77.147,250,0,0,653.9
512,62214,75.24,250,0,0,656.5
513,62260,-32.563,46,0,1,657.0
514,62510,82.84,250,0,0,659.7
515,62760,65.619,250,0,0,662.5
516,63010,71.143,250,0,0,665.2
517,63260,61.064,250,0,0,668.1
518,63510,82.021,250,0,0,673.1
519,63760,75.136,250,0,0,677.5
520,64010,43.48,250,0,0,682.0
521,64260,82.239,250,0,0,686.6
522,64293,-48.333,33,0,1,687.7
523,64347,-20.12,54,0,1,688.5
524,64408,-103.266,61,0,1,689.1
525,64658,75.864,250,0,0,691.6
526,64690,-84.63,32,0,1,691.9
527,64940,63.505,250,0,0,694.4
528,65190,66.013,250,0,0,697.0
529,65440,65.856,250,0,0,699.7
530,65454,-73.632,14,0,1,699.8
531,65704,48.482,250,0,0,702.4
532,65886,-34.648,182,0,1,704.2
533,66136,63.707,250,0,0,706.8
534,66163,-27.747,27,0,1,707.0
535,66166,-93.89,3,0,1,707.1
536,66416,82.637,250,0,0,709.9
537,66666,18.399,250,0,0,712.7
538,66916,74.623,250,0,0,715.4
539,67166,0.375,250,0,0,718.9
540,67416,59.241,250,0,0,722.9
541,67666,69.404,250,0,0,725.5
542,67916,57.574,250,0,0,728.7
543,68166,59.605,250,0,0,732.2
544,68416,37.602,250,0,0,739.6
545,68666,67.117,250,0,0,743.6
546,68675,-92.203,9,0,1,743.7
547,68925,74.238,250,0,0,747.6
548,68937,-97.639,12,0,1,747.8
549,69187,90.741,250,0,0,755.9
550,69229,-75.967,42,0,1,756.5
551,69280,-26.479,51,0,1,757.6
552,69530,54.46,250,0,0,761.8
553,69780,69.134,250,0,0,765.3
554,70030,66.555,250,0,0,772.6
555,70280,68.451,250,0,0,778.0
556,70530,59.836,250,0,0,783.4
557,70548,-80.465,18,0,1,783.8
558,70798,61.638,250,0,0,789.2
559,70942,-21.735,144,0,1,791.5
560,70947,-93.771,5,0,1,791.6
561,71197,57.867,250,0,0,794.5
562,71447,78.242,250,0,0,797.3
563,71451,-97.641,4,0,1,797.3
564,71701,79.573,250,0,0,800.5
565,71951,67.279,250,0,0,803.6
566,72201,47.762,250,0,0,806.7
567,72238,-72.034,37,0,1,807.2
568,72265,-46.72,27,0,1,807.7
569,72515,67.845,250,0,0,810.3
570,72605,-24.95,90,0,1,811.6
571,72855,73.004,250,0,0,814.2
572,73105,83.26,250,0,0,816.6
573,73108,-93.015,3,0,1,816.6
574,73358,71.704,250,0,0,819.1
575,73608,56.098,250,0,0,821.6
576,73858,69.496,250,0,0,824.1
577,74108,69.051,250,0,0,826.8
578,74358,73.529,250,0,0,830.2
579,74608,69.093,250,0,0,833.9
580,74858,61.565,250,0,0,837.7
581,75108,60.835,250,0,0,843.5
582,75358,55.511,250,0,0,849.1
583,75608,54.476,250,0,0,854.3
584,75858,68.602,250,0,0,859.9
585,76108,53.824,250,0,0,864.0
586,76358,56.719,250,0,0,866.5
587,76608,57.957,250,0,0,869.1
588,76858,76.312,250,0,0,871.4
589,77108,66.118,250,0,0,874.0
590,77358,74.298,250,0,0,876.3
591,77608,60.913,250,0,0,878.7
592,77729,-100.925,121,0,1,879.8
593,77955,-88.324,226,0,1,881.8
594,78063,-35.127,108,0,1,882.8
595,78090,-55.881,27,0,1,883.0
596,78143,-36.059,53,0,1,883.6
597,78167,-84.12,24,0,1,883.8
598,78250,-37.163,83,0,1,884.5
599,78266,-71.412,16,0,1,884.7
600,78516,65.149,250,0,0,887.1
601,78766,29.815,250,0,0,889.4
602,78804,-43.058,38,0,1,889.8
603,78901,-34.288,97,0,1,890.9
604,79028,-32.944,127,0,1,893.7
605,79278,68.83,250,0,0,898.1
606,79528,58.189,250,0,0,902.9
607,79626,-40.116,98,0,1,904.6
608,79646,-74.418,20,0,1,905.0
609,79671,-39.074,25,0,1,905.5
610,79921,59.382,250,0,0,908.9
611,80171,44.986,250,0,0,912.8
612,80188,-101.496,17,0,1,913.1
613,80217,-54.575,29,0,1,913.7
614,80234,-101.795,17,0,1,914.0
615,80484,62.557,250,0,0,919.9
616,80734,59.054,250,0,0,923.7
617,80765,-29.715,31,0,1,924.0
618,81015,60.263,250,0,0,927.7
619,81265,56.737,250,0,0,931.1
620,81515,42.524,250,0,0,933.7
621,81567,-24.756,52,0,1,934.2
622,81817,68.487,250,0,0,936.7
623,81820,-106.101,3,0,1,936.8
624,82070,36.066,250,0,0,939.5
625,82190,-21.849,120,0,1,940.7
626,82440,6.75,250,0,0,943.2
627,82690,71.905,250,0,0,945.9
628,82940,78.206,250,0,0,948.9
629,83190,69.031,250,0,0,951.7
630,83242,-18.274,52,0,1,952.3
631,83295,-28.919,53,0,1,952.9
632,83313,-96.517,18,0,1,953.1
633,83563,81.672,250,0,0,955.9
634,83673,-36.302,110,0,1,957.1
635,83691,-67.86,18,0,1,957.5
636,83941,61.762,250,0,0,960.8
637,83950,-114.286,9,0,1,960.9
638,84200,68.945,250,0,0,964.5
639,84450,41.208,250,0,0,967.4
640,84547,-34.344,97,0,1,968.5
641,84797,63.772,250,0,0,972.0
642,85047,45.542,250,0,0,976.8
643,85148,-50.909,101,0,1,979.2
644,85398,65.826,250,0,0,982.8
645,85648,71.926,250,0,0,985.8
646,85898,49.597,250,0,0,988.8
647,86148,38.176,250,0,0,991.3
648,86398,74.769,250,0,0,994.0
649,86414,-117.24,16,0,1,994.1
650,86664,72.471,250,0,0,996.7
651,86739,197.037,75,1,0,997.5
652,86989,72.915,250,0,0,1000.0
653,87239,70.559,250,0,0,1003.2
654,87304,202.096,65,1,0,1004.2
655,87554,60.169,250,0,0,1007.0
656,87804,71.83,250,0,0,1009.7
657,87889,-48.601,85,0,1,1010.5
658,88139,76.66,250,0,0,1013.0
659,88230,-44.626,91,0,1,1014.6
660,88294,-20.738,64,0,1,1015.5
661,88323,-32.305,29,0,1,1015.8
662,88373,-35.848,50,0,1,1016.6
663,88389,-95.818,16,0,1,1016.7
664,88581,-40.066,192,0,1,1018.6
665,88615,-28.48,34,0,1,1018.9
666,88802,-36.799,187,0,1,1020.6
667,88848,-47.236,46,0,1,1021.1
668,88955,-36.835,107,0,1,1022.1
669,89205,77.407,250,0,0,1024.5
670,89375,-35.673,170,0,1,1026.2
671,89618,-93.635,243,0,1,1028.7
672,89790,-67.112,172,0,1,1030.6
673,90040,64.434,250,0,0,1033.6
674,90186,-64.076,146,0,1,1035.1
675,90214,-44.827,28,0,1,1035.4
676,90264,-22.225,50,0,1,1035.9
677,90514,73.258,250,0,0,1038.5
678,90764,78.087,250,0,0,1041.1
679,91014,85.777,250,0,0,1044.2
680,91264,71.371,250,0,0,1048.2
681,91514,78.571,250,0,0,1051.9
682,91687,-58.27,173,0,1,1055.7
