episode,steps,return,length,success,crash,wall_time
613,77259,-40.271,114,0,1,169.8
614,77404,-46.011,145,0,1,170.1
615,77430,-72.979,26,0,1,170.2
616,77530,198.376,100,1,0,170.4
617,77588,-28.741,58,0,1,170.5
618,77646,181.378,58,1,0,170.6
619,77716,189.576,70,1,0,170.7
620,77812,182.116,96,1,0,170.8
621,77820,-98.013,8,0,1,170.8
622,77916,200.3,96,1,0,171.8
623,78019,181.288,103,1,0,171.9
624,78049,-83.637,30,0,1,171.9
625,78144,201.224,95,1,0,172.1
626,78278,-20.661,134,0,1,172.3
627,78403,-11.075,125,0,1,172.5
628,78487,201.832,84,1,0,172.6
629,78584,186.888,97,1,0,172.8
630,78727,195.179,143,1,0,173.0
631,78871,196.789,144,1,0,173.2
632,78948,-41.967,77,0,1,173.4
633,79027,205.816,79,1,0,173.5
634,79137,189.433,110,1,0,173.7
635,79311,192.26,174,1,0,174.0
636,79525,-19.995,214,0,1,174.3
637,79646,188.505,121,1,0,174.5
638,79773,188.946,127,1,0,174.7
639,79863,189.387,90,1,0,174.9
640,79982,198.067,119,1,0,175.8
641,80079,183.313,97,1,0,176.0
642,80329,65.748,250,0,0,176.3
643,80448,-11.169,119,0,1,176.5
644,80458,-85.07,10,0,1,176.5
645,80543,197.994,85,1,0,176.6
646,80618,183.87,75,1,0,176.7
647,80756,198.368,138,1,0,176.9
648,80829,-12.304,73,0,1,177.0
649,80918,-15.439,89,0,1,177.1
650,81009,199.451,91,1,0,177.2
651,81120,-46.835,111,0,1,177.4
652,81190,190.606,70,1,0,177.5
653,81390,-49.41,200,0,1,177.9
654,81458,-37.586,68,0,1,178.0
655,81574,202.186,116,1,0,178.2
656,81698,193.408,124,1,0,178.4
657,81791,194.973,93,1,0,178.6
658,81807,-91.969,16,0,1,178.6
659,81939,178.436,132,1,0,179.8
660,82050,195.08,111,1,0,180.0
661,82104,184.777,54,1,0,180.1
662,82223,185.835,119,1,0,180.3
663,82237,-74.425,14,0,1,180.3
664,82262,-77.346,25,0,1,180.3
665,82512,74.912,250,0,0,180.7
666,82733,196.676,221,1,0,181.1
667,82914,185.879,181,1,0,181.4
668,83164,69.874,250,0,0,181.9
669,83213,-36.752,49,0,1,182.0
670,83269,197.323,56,1,0,182.1
671,83519,69.634,250,0,0,182.5
672,83592,-11.118,73,0,1,182.6
673,83688,184.147,96,1,0,182.7
674,83730,-61.118,42,0,1,182.8
675,83806,200.547,76,1,0,182.9
676,83810,-97.933,4,0,1,182.9
677,84034,184.011,224,1,0,184.2
678,84098,195.396,64,1,0,184.3
679,84329,185.187,231,1,0,184.6
680,84420,186.64,91,1,0,184.7
681,84492,209.125,72,1,0,184.8
682,84549,184.12,57,1,0,184.9
683,84697,189.454,148,1,0,185.1
684,84807,197.472,110,1,0,185.3
685,84827,-83.614,20,0,1,185.3
686,84924,187.292,97,1,0,185.4
687,85017,205.64,93,1,0,185.6
688,85149,191.751,132,1,0,185.7
689,85223,-12.629,74,0,1,185.8
690,85311,186.637,88,1,0,185.9
691,85398,192.392,87,1,0,186.0
692,85498,194.483,100,1,0,186.1
693,85587,197.935,89,1,0,186.2
694,85659,-17.567,72,0,1,186.3
695,85715,191.258,56,1,0,186.4
696,85797,-23.342,82,0,1,186.5
697,85863,-49.869,66,0,1,186.6
698,85969,190.35,106,1,0,186.7
699,86075,196.975,106,1,0,187.5
700,86238,184.747,163,1,0,187.8
701,86301,200.708,63,1,0,187.9
702,86389,187.13,88,1,0,188.0
703,86446,-41.51,57,0,1,188.1
704,86519,192.7,73,1,0,188.1
705,86606,190.768,87,1,0,188.3
706,86727,183.335,121,1,0,188.5
707,86804,191.039,77,1,0,188.6
708,87054,81.251,250,0,0,189.0
709,87133,-23.342,79,0,1,189.1
